"Date","Price","Open","High","Low","Vol.","Change %"
"18-06-2024","4,763.15","4,800.20","4,829.10","4,735.00","27.39K","-1.37%"
"19-06-2024","4,839.55","4,797.00","4,895.00","4,747.55","28.41K","1.60%"
"20-06-2024","4,786.50","4,883.95","4,893.90","4,780.00","19.20K","-1.10%"
"21-06-2024","4,612.05","4,795.85","4,869.95","4,563.65","279.26K","-3.64%"
"24-06-2024","4,607.50","4,614.95","4,684.00","4,579.85","23.56K","-0.10%"
"25-06-2024","4,605.35","4,648.00","4,674.00","4,585.10","17.77K","-0.05%"
"26-06-2024","4,609.55","4,610.00","4,665.00","4,600.00","7.36K","0.09%"
"27-06-2024","4,525.20","4,615.40","4,654.85","4,501.00","39.57K","-1.83%"
"28-06-2024","4,528.55","4,569.00","4,623.00","4,509.00","33.03K","0.07%"
"01-07-2024","4,602.30","4,569.00","4,633.75","4,543.95","15.26K","1.63%"
"02-07-2024","4,580.20","4,629.00","4,646.00","4,565.00","8.28K","-0.48%"
"03-07-2024","4,588.75","4,619.00","4,638.00","4,548.50","12.68K","0.19%"
"04-07-2024","4,620.20","4,619.00","4,659.60","4,580.00","12.96K","0.69%"
"05-07-2024","4,626.35","4,625.00","4,641.35","4,592.55","7.56K","0.13%"
"08-07-2024","4,589.00","4,625.35","4,635.75","4,575.05","7.18K","-0.81%"
"09-07-2024","4,711.70","4,589.00","4,750.00","4,585.00","30.70K","2.67%"
"10-07-2024","5,018.80","4,741.65","5,050.00","4,741.60","229.24K","6.52%"
"11-07-2024","4,951.25","5,029.80","5,032.85","4,908.00","31.98K","-1.35%"
"12-07-2024","4,856.45","4,951.25","4,995.00","4,829.00","28.50K","-1.91%"
"15-07-2024","4,940.25","4,870.05","5,031.95","4,832.15","217.71K","1.73%"
"16-07-2024","5,004.75","4,942.60","5,035.00","4,942.60","30.34K","1.31%"
"18-07-2024","5,084.05","5,019.95","5,170.00","5,013.20","60.91K","1.58%"
"19-07-2024","5,059.35","5,099.95","5,117.90","5,033.05","17.01K","-0.49%"
"22-07-2024","5,011.20","4,972.10","5,100.00","4,970.05","12.54K","-0.95%"
"23-07-2024","5,191.40","5,011.20","5,230.00","4,980.00","56.38K","3.60%"
"24-07-2024","5,301.15","5,200.00","5,344.00","5,142.05","37.54K","2.11%"
"25-07-2024","5,285.15","5,298.05","5,385.00","5,211.05","29.24K","-0.30%"
"26-07-2024","5,243.35","5,294.95","5,328.00","5,230.00","11.44K","-0.79%"
"29-07-2024","5,367.75","5,260.00","5,436.00","5,250.00","25.17K","2.37%"
"30-07-2024","5,581.70","5,599.00","5,648.80","5,504.20","182.73K","3.99%"
"31-07-2024","5,650.80","5,581.00","5,675.00","5,522.55","38.55K","1.24%"
"01-08-2024","5,640.35","5,630.05","5,670.00","5,562.05","22.93K","-0.18%"
"02-08-2024","5,658.30","5,594.10","5,673.95","5,551.85","11.38K","0.32%"
"05-08-2024","5,567.55","5,600.00","5,665.30","5,514.35","27.80K","-1.60%"
"06-08-2024","5,792.90","5,567.55","6,088.95","5,547.00","151.72K","4.05%"
